ALTEZZA PESO TORACE CRANIO BISACROM BITROCAN SPAN
157 49 79 55 36 27 157
157 51 80 55 37 26 162
157 66 92 55 37 30 155
150 44 78 56 36 25 150
157 61 90 56 36 29 156
149 55 83 56 37 26 155
155 52 84 56 36 28 159
154 53 82 56 37 28 158
150 36 67 56 33 23 152
157 47 77 56 38 30 169
156 50 79 56 36 29 164
152 51 81 56 37 29 155
148 44 73 56 34 26 146
148 42 74 56 33 26 151
152 35 70 56 36 24 154
149 43 73 56 34 23 150
149 51 83 56 33 27 147
150 51 84 56 35 29 142
157 41 73 56 34 26 158
149 47 79 56 33 25 151
157 49 78 56 35 28 160
157 61 89 56 35 30 160
149 57 88 56 34 27 151
148 52 87 56 39 29 150
157 54 81 56 33 27 162
156 44 73 56 37 29 154
157 78 96 56 46 32 178
148 50 83 56 37 27 150
148 44 79 56 33 26 147
156 49 74 56 34 26 158
149 49 79 56 34 27 149
148 40 72 56 31 25 152
158 39 71 56 32 25 158
156 55 86 56 36 31 158
148 46 78 56 35 26 157
148 39 70 56 33 27 145
158 53 77 56 36 28 156
150 40 71 56 33 25 146
150 45 76 56 33 26 149
148 43 76 56 33 25 151
158 66 93 56 36 32 157
150 38 69 56 32 24 152
148 50 79 56 34 24 146
156 61 90 56 38 29 168
148 34 67 56 31 24 156
148 57 84 56 34 27 149
156 42 74 56 36 28 158
158 50 78 56 35 29 165
156 53 80 56 36 28 158
150 49 82 56 35 25 170
155 42 73 56 34 27 159
149 38 70 56 32 24 154
155 53 76 56 37 28 158
150 36 69 56 36 27 152
147 53 87 56 35 27 150
150 55 86 56 38 28 162
147 47 76 56 33 26 146
147 39 69 56 37 26 155
155 43 71 56 32 26 158
155 63 96 56 33 29 153
155 42 77 56 35 26 162
147 36 70 56 31 23 146
147 36 70 56 32 23 150
159 59 86 56 35 29 160
159 48 76 56 35 29 164
149 40 71 56 34 25 150
155 40 72 56 32 23 160
155 49 78 56 37 28 155
155 42 72 56 35 27 152
159 46 71 56 34 26 154
147 50 88 56 33 27 150
155 40 74 56 35 27 150
159 55 83 56 35 28 168
155 55 87 56 38 29 160
151 40 72 56 37 25 161
157 47 76 56 36 27 156
151 38 71 56 36 27 160
151 46 76 56 35 26 144
155 52 79 56 37 30 155
155 60 86 56 34 29 151
151 43 73 56 35 26 151
154 53 84 56 33 26 151
151 41 72 56 33 22 158
151 40 72 56 33 26 156
154 48 78 56 32 27 152
154 48 77 56 35 27 158
151 38 69 56 35 28 148
154 54 85 56 36 27 152
151 35 69 56 35 27 150
159 59 86 56 38 26 161
151 40 74 56 36 28 150
159 46 76 56 36 26 162
159 44 76 56 36 26 169
152 41 76 56 35 26 153
152 58 91 56 36 30 152
152 52 80 56 35 28 152
146 46 78 56 35 27 152
152 47 82 56 37 25 154
154 46 73 56 36 28 165
146 40 69 56 33 24 144
146 31 69 56 31 22 151
146 47 76 56 33 26 150
154 48 77 56 37 29 152
154 61 96 56 36 28 159
154 39 70 56 34 25 145
152 36 67 56 32 25 152
146 41 74 56 33 25 149
146 36 66 56 32 25 142
152 56 88 56 35 29 147
160 47 76 56 34 25 155
146 39 74 56 35 23 145
146 49 78 56 33 29 147
152 41 79 56 34 25 157
160 58 84 56 37 27 160
160 55 78 56 38 26 162
154 47 77 56 37 23 156
160 66 87 56 36 29 154
146 41 74 56 31 23 158
160 64 86 56 36 29 162
145 42 76 56 36 25 157
145 33 67 56 32 22 147
145 42 77 56 32 25 147
152 45 74 56 36 26 160
145 45 77 56 34 27 149
152 40 71 56 33 25 156
157 57 84 56 37 28 160
160 49 82 56 34 28 166
157 42 74 56 36 27 157
152 40 72 56 36 25 148
153 41 74 56 36 26 156
157 45 71 56 34 25 162
152 40 73 56 35 26 165
149 38 72 56 36 25 153
153 52 82 56 36 29 150
160 69 91 56 39 31 163
153 55 82 56 37 27 158
145 39 71 56 34 27 158
145 38 75 56 35 27 149
153 56 86 56 39 28 161
153 51 85 56 38 28 171
153 39 73 56 33 25 153
153 53 84 56 33 28 159
153 51 84 56 36 29 150
161 52 81 56 36 27 165
145 48 81 56 36 24 155
153 54 85 56 33 27 145
153 50 84 56 35 26 152
145 37 72 56 34 24 147
171 75 90 56 39 35 168
167 61 87 56 39 32 170
183 65 85 56 39 31 184
145 48 86 56 33 27 142
171 58 81 56 38 30 175
171 59 83 56 41 31 177
177 59 83 56 41 32 181
166 64 83 56 35 29 160
167 62 86 56 40 32 174
168 63 82 56 41 31 178
145 56 87 56 35 25 143
176 57 85 56 39 29 179
161 40 68 56 34 26 160
161 64 89 56 37 28 161
176 61 82 56 36 31 166
161 51 79 56 39 29 142
140 35 70 56 33 26 155
132 33 67 56 32 24 139
140 36 72 56 34 27 157
144 41 73 56 35 26 145
138 36 68 56 33 25 131
144 42 75 56 32 26 140
144 58 91 56 35 28 139
175 61 84 56 40 30 175
162 51 76 56 35 28 161
171 51 82 56 38 26 175
162 45 73 56 37 26 167
169 60 86 56 39 30 178
140 40 77 56 31 23 147
138 48 79 56 31 25 142
162 53 76 56 33 29 162
162 55 73 56 41 30 170
144 39 71 56 34 25 150
174 51 78 56 34 29 174
164 65 89 56 39 30 166
162 46 75 56 36 28 160
162 55 82 56 40 30 163
171 56 83 56 39 30 170
162 48 83 56 35 27 167
164 59 87 56 38 29 172
144 46 77 56 34 28 138
164 52 78 56 37 28 171
162 35 72 56 35 26 154
134 31 63 56 31 23 136
171 65 86 56 43 31 172
162 57 83 56 39 29 165
140 50 82 56 33 24 150
166 47 75 56 38 29 168
162 55 81 56 36 30 173
143 32 63 56 32 22 148
165 51 74 56 36 26 164
137 34 69 56 31 23 137
162 64 86 56 35 31 160
143 30 65 56 33 23 154
170 50 77 56 38 30 170
174 54 80 56 40 28 177
173 58 83 56 39 29 179
143 37 69 56 29 23 146
163 55 86 56 38 29 164
170 50 76 56 37 28 168
163 47 80 56 35 28 162
163 47 75 56 36 28 162
165 66 89 56 39 30 163
163 58 79 56 34 28 160
165 54 78 56 38 30 161
140 43 76 56 33 29 160
173 100 99 56 42 36 172
170 57 85 56 41 29 179
173 49 78 56 39 30 176
143 46 78 56 32 25 146
141 48 84 56 36 28 140
165 48 75 56 35 28 165
143 36 69 56 31 23 142
173 53 79 56 40 29 174
165 52 78 56 34 28 161
164 51 82 56 35 27 165
142 36 68 56 32 25 143
163 51 80 56 37 28 167
142 42 75 56 35 28 147
134 34 68 56 32 24 132
163 56 81 56 36 30 168
171 73 97 56 40 33 175
164 47 76 56 34 30 164
135 34 73 56 34 25 149
167 52 81 56 37 29 170
138 35 75 56 33 22 138
137 32 67 56 31 22 148
171 61 82 56 41 30 174
166 49 84 56 39 29 166
164 65 85 56 37 31 164
141 36 67 56 31 24 142
164 54 76 56 34 29 165
164 50 77 56 35 28 161
166 46 74 56 36 28 161
170 49 76 56 36 29 174
165 60 87 56 37 30 159
142 46 81 56 36 27 140
164 55 77 56 37 27 158
142 41 71 56 33 24 140
141 48 81 56 37 29 152
171 59 86 56 40 30 173
159 49 76 57 39 28 161
147 39 71 57 33 24 148
146 32 73 57 36 26 147
164 78 97 57 42 32 170
147 41 76 57 35 27 150
162 52 75 57 36 28 161
164 65 95 57 37 30 167
158 62 88 57 39 28 161
158 40 74 57 38 28 160
164 58 86 57 36 28 164
159 51 78 57 36 26 162
164 55 81 57 36 28 165
162 52 80 57 37 29 163
145 45 80 57 37 29 160
148 48 74 57 37 29 162
158 73 103 57 41 33 170
148 44 73 57 37 26 150
148 51 85 57 38 27 158
142 34 69 57 32 24 140
147 47 81 57 37 28 146
146 39 73 57 32 22 150
165 52 81 57 36 28 160
159 58 85 57 38 27 158
163 66 88 57 39 31 163
143 40 74 57 33 23 146
159 54 84 57 38 27 166
148 46 78 57 36 26 154
159 48 76 57 35 28 158
159 44 73 57 37 25 156
162 55 76 57 40 30 165
165 53 80 57 37 30 171
165 60 83 57 39 30 172
157 47 74 57 36 27 160
165 55 83 57 39 28 172
140 49 86 57 36 28 141
146 54 91 57 36 27 144
162 74 93 57 37 31 160
162 74 99 57 39 30 166
157 52 81 57 36 29 163
162 51 80 57 36 26 146
143 50 80 57 35 27 146
166 70 93 57 38 31 168
162 59 85 57 39 32 174
148 36 72 57 34 25 153
159 60 88 57 39 31 170
164 53 81 57 37 26 170
145 49 77 57 33 24 150
166 64 87 57 39 28 164
157 43 73 57 38 29 161
166 60 86 57 39 28 164
162 55 84 57 38 29 167
144 35 64 57 33 22 148
164 53 83 57 39 30 172
161 63 95 57 39 28 161
166 53 81 57 37 27 170
166 65 87 57 36 30 170
161 48 78 57 38 28 170
160 70 86 57 42 30 165
149 50 79 57 34 26 146
161 55 80 57 34 26 161
161 48 74 57 34 26 165
161 50 81 57 37 28 162
161 66 90 57 39 38 168
164 48 77 57 39 31 172
149 49 82 57 34 26 144
166 68 90 57 36 30 170
150 64 91 57 37 29 150
150 46 79 57 38 30 150
163 56 78 57 37 28 166
157 40 70 57 34 26 155
156 54 81 57 39 31 162
173 56 79 57 41 33 167
156 55 88 57 39 30 163
156 68 89 57 38 31 168
152 46 78 57 34 26 142
174 58 88 57 39 31 176
150 52 81 57 35 29 152
150 49 82 57 35 26 157
168 78 99 57 40 34 164
173 60 79 57 39 29 183
153 46 73 57 32 28 147
155 50 76 57 39 29 150
173 65 86 57 38 31 175
155 42 73 57 36 28 155
154 46 77 57 37 26 156
168 55 77 57 36 28 166
173 93 99 57 44 36 177
150 35 72 57 34 25 155
175 54 75 57 39 30 182
168 70 94 57 37 31 171
152 43 73 57 33 26 151
168 59 82 57 39 29 168
150 44 78 57 36 25 155
176 58 83 57 39 29 180
170 68 87 57 42 32 181
154 38 71 57 36 26 155
175 55 78 57 37 29 163
169 64 89 57 36 30 178
155 47 76 57 34 27 160
155 56 86 57 35 29 157
154 40 68 57 32 25 150
155 52 83 57 35 27 157
169 54 78 57 39 28 172
133 30 63 57 29 22 133
169 45 99 57 44 32 174
153 42 77 57 35 25 159
169 49 78 57 41 30 165
154 44 77 57 35 26 154
170 55 77 57 37 30 166
170 64 92 57 41 30 172
152 56 86 57 34 28 149
151 45 75 57 34 27 153
154 58 83 57 37 28 151
153 41 75 57 34 26 157
153 45 76 57 35 27 157
152 57 73 57 43 29 183
152 71 103 57 36 32 160
174 71 86 57 39 33 164
154 37 68 57 31 25 154
152 40 68 57 35 24 163
171 55 80 57 39 27 171
152 53 80 57 37 28 157
149 49 78 58 33 27 145
156 51 81 58 39 28 165
170 80 77 58 43 32 175
166 60 81 58 37 31 167
154 51 85 58 38 29 157
166 50 81 58 36 27 166
169 63 87 58 41 30 178
164 50 80 58 37 31 167
158 62 86 58 37 29 161
169 72 99 58 40 31 171
166 57 82 58 38 31 166
151 45 73 58 35 27 150
164 76 97 58 37 30 172
142 49 80 58 36 29 142
159 47 80 58 38 27 164
171 54 80 58 37 30 169
164 64 86 58 40 31 172
163 64 88 58 37 31 166
163 49 81 58 38 27 167
170 54 78 58 36 30 170
172 54 85 58 38 29 172
151 39 69 58 33 24 148
164 57 85 58 36 30 164
165 56 80 58 39 31 177
172 88 99 58 41 34 182
169 75 92 58 37 31 172
165 60 83 58 41 29 168
169 57 84 58 38 30 178
163 59 83 58 38 30 169
163 69 95 58 37 31 162
168 62 86 58 40 31 176
168 67 89 58 41 34 172
173 58 83 58 38 30 174
163 52 77 58 38 26 160
168 57 84 58 40 30 170
170 57 83 58 38 28 167
157 49 78 58 37 27 164
167 69 91 58 37 31 170
170 72 94 58 37 29 170
157 59 87 58 37 28 163
147 48 80 58 35 26 143
161 76 99 58 39 30 165
160 52 82 58 38 28 162
174 77 99 58 42 33 175
143 36 66 58 31 23 138
176 68 88 58 42 33 182
161 60 86 58 38 28 170
143 37 69 58 33 23 145
144 42 73 58 33 25 144
160 62 88 58 38 30 165
177 65 85 58 43 34 179
165 50 72 59 38 28 165
163 62 87 59 40 32 177
175 69 87 59 40 31 176
169 59 88 59 39 31 172
168 61 83 59 42 31 171
172 81 99 59 44 34 176
173 79 92 59 42 33 176
175 64 82 59 39 28 182
170 52 80 59 35 27 168
163 52 81 59 38 29 164
160 63 89 59 39 30 163
145 49 88 59 35 28 151
153 44 74 59 36 29 154
178 66 86 59 39 33 177
155 44 73 60 34 25 154
178 61 85 60 39 30 174
166 75 93 60 39 31 165
175 92 99 60 43 34 180
179 60 82 60 40 31 184
183 67 89 60 43 32 178
